"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Alqatawna J.; Siddiqi J.; Akhgar B.; Btoush M.H.","Alqatawna, Ja'far (26326711500); Siddiqi, Jawed (7004641427); Akhgar, Babak (14008530100); Btoush, Mohammad Hjouj (24314620300)","26326711500; 7004641427; 14008530100; 24314620300","E-business security: Methodological considerations","2009","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651543660&partnerID=40&md5=6ad416a3733dbea1efab7a3dadd97eba","A great deal of research works in the field information systems security has been based on a positivist paradigm. Applying the reductionism concept of the positivist paradigm for information security means missing the bigger picture and thus, the lack of holism which could be one of the reasons why security is still overlooked, comes as an afterthought or perceived from a purely technical dimension. We need to reshape our thinking and attitudes towards security especially in a complex and dynamic environment such as e- Business to develop a holistic understanding of e-Business security in relation to its context as well as considering all the stakeholders in the problem area. In this paper we argue the suitability and need for more inductive interpretive approach and qualitative research method to investigate e-Business security. Our discussion is based on a holistic framework of enquiry, nature of the research problem, the underling theoretical lens and the complexity of e-Business environment. At the end we present a research strategy for developing a holistic framework for understanding of e-Business security problems in the context of developing countries based on an interdisciplinary inquiry which considers their needs and requirements. © 2009 WASET.ORG.","Complexity; E-Business Security; Interpretive qualitative research and Case study method; Methodological considerations","Developing countries; Research; Security of data; Complexity; Dynamic environments; E business environment; E-Business Security; eBusiness; Information security; Information systems security; Interpretive qualitative research and Case study method; Methodological considerations; Problem areas; Qualitative research methods; Research problems; Research strategy; Electronic commerce"
"Kostopoulos G.K.","Kostopoulos, George K. (57205184742)","57205184742","Cyberterrorism: The next arena of confrontation","2009","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898030631&partnerID=40&md5=11b3efe7ffedb1b44ef9a9ee237a3e9f","This paper presents a research conducted over the increasing dangers of cyberterrorism. It discusses the cyberterrorism parameters-the cyberterrorists, the attacks, and the countermeasures-as well as the Internet's physical security. The paper sounds an alarm over the current accessibility of critical intranets via the Internet, and points out that the risks in this practice outweigh any possible benefits. Concern is also raised over the security of Internet's physical infrastructure, suggesting increased redundancy and that countries have more physical entry points into cyberspace. The paper concludes with two recommendations. One is the physical isolation of the Internet from critical intranets, and the other is the development of an Internet SCADA to oversee the Internet's performance in the U.S. cyberspace. ""In the case of cyber war, you really can't tell whether the enemy has good weapons until the enemy uses them."" (Clarke1 in Kirk, 2003).","Botnet; Cyberterrorism; Information assurance; Internet security; Malware; Nimda; Scada","Computer viruses; Computers; Internet; Knowledge management; Botnet; Cyber-terrorism; Information assurance; Internet security; Malwares; Nimda; Scada; Security of data"
"Geetha S.; Sindhu S.S.; Ishwarya N.; Mohan A.; Amuthayazhini P.; Kamaraj N.","Geetha, S. (24472945600); Sindhu, S. Sivatha (58614830800); Ishwarya, N. (35753045200); Mohan, Abhinaya (57196899787); Amuthayazhini, P. (35753053200); Kamaraj, N. (6506155540)","24472945600; 58614830800; 35753045200; 57196899787; 35753053200; 6506155540","Intelligent detection of LSB stego anomalies in images using soft computing paradigms","2009","0","10.1109/icm2cs.2009.5397981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949572804&doi=10.1109%2ficm2cs.2009.5397981&partnerID=40&md5=61946699899cd1796352da5cfcc785d6","Techniques for information hiding and steganography are becoming increasingly more sophisticated and widespread. With high-resolution digital images as carriers, detecting hidden messages is also becoming considerably more difficult. In this paper, we describe a universal approach to steganalyse the least significant bit steganography method for detecting the presence of hidden messages embedded within digital images. The proposed work uses the 27 features that are calculated from the three different statistical moments i.e., PDF, CF and Absolute moment calculated from wavelet multi-resolution representation of the images. We have presented the efficacy of our approach on a large collection of images, and on four different LSB steganographic embedding algorithms. Four soft computing techniques viz., Support Vector Machine, Naive Bayes classifier, Decision Tree Classifier and K-nearest neighbor classifier are employed to efficiently distinguish the pure image from the anomalous or stego image file. The proposed steganalysis algorithm can steadily achieve a correct classification rate of over 90% thus indicating significant achievement in steganalysis.","Information security; LSB steganalysis; Soft computing techniques; Statistical moments","Classifiers; Decision trees; Digital image storage; Nearest neighbor search; Security of data; Soft computing; Support vector machines; Decision tree classifiers; High resolution digital images; K-nearest neighbor classifier; Least significant bit steganography; LSB steganalysis; Multi resolution representation; Softcomputing techniques; Statistical moments; Steganography"
"Waluyan L.; Sasipan S.; Noguera S.; Asai T.","Waluyan, L. (56578622500); Sasipan, S. (57188446500); Noguera, S. (56578207300); Asai, T. (36717432900)","56578622500; 57188446500; 56578207300; 36717432900","Analysis of potential problems in people management concerning information security in cross-cultural environment: In the case of Malaysia","2009","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961287887&partnerID=40&md5=39f12db9565d28dae2031f787bb2193b","This paper discusses the potential problems due to cultural differences, which foreign companies may face in Malaysia concerning information security. Top five investing countries in Malaysia: Japan, US, Singapore, Germany and UK are examined. Potential problems concerning people management are developed by using Geert Hofstede's and Edward Hall's cultural frameworks. Analyzed are the problems concerning people management. To evaluate the magnitude of potential of problems, a new measure namely Level of Potential (LoP) is adopted. A survey was conducted in Malaysia to evaluate the severity of potential problems and the practicability of LoP. To examine the usability of developed LoPs (logical LoPs), the association level between the logical LoPs and their surveyed LoPs is compared. As a result, LoP can predict problems to a certain extent. The problem ""Unintentional sharing of confidential information."" is a problem with the highest severity among the potential problems as ""teaching others"" is encouraged by employees' beliefs.","Cultural Differences; Cultural Dimensions; Information Security Management; People Management","Mobile security; Surveys; Confidential information; Cultural difference; Cultural dimensions; Cultural environment; Foreign companies; Information security managements; People management; Potential problems; Security of data"
"Yunis M.M.","Yunis, Manal M. (29567660900)","29567660900","A 'cloud-free' security model for cloud computing","2009","8","10.1504/IJSS.2009.032177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949776507&doi=10.1504%2fIJSS.2009.032177&partnerID=40&md5=f4a6da19bd75902e290f05e23891a303","Characterised by low investment cost, economies of scale, open standards and sustainability, cloud computing is being increasingly adopted by organisations. This paper presents the development of a comprehensive model that highlights the security impacts of cloud computing on organisations' information security strategies. The 'cloud-free' security model symbolises a computing model with a low level of uncertainty regarding security concerns. Using theoretical frameworks and deploying the analytic hierarchy process as a quantitative method technique, the model will be both validated and assessed. The model can be applied in assessing the security issues emanating from cloud computing, identifying the security countermeasures needed to address these issues and coordinating the efforts of the various participants to enhance information security in organisations adopting cloud computing. This contribution is believed to be useful to practitioners, academicians and researchers in the information security and cloud computing research streams. Copyright © 2009 Inderscience Enterprises Ltd.","AHP; Analytic hierarchy process; Availability; Cloud computing; Cloud computing services standards; Cloud-free security model; Confidentiality; Information security; Integrity",""
"Hagen J.M.; Spilling P.","Hagen, J.M. (22733970300); Spilling, P. (6602306675)","22733970300; 6602306675","Do organisational security measures contribute to the detection and reporting of IT-system abuses?","2009","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898209528&partnerID=40&md5=1203abb296be50e3b043b47194ec40e8","The paper presents a study of IT systems abuses, based on 390 responses from the Norwegian Computer Crime Survey 2006, and qualitative data from personal interviews of 94 employees in four enterprises required to obey the Norwegian Security Act. The aim of the study has been to shed light on a handful organizational security measures that contribute to the detection and reporting of security incidents. The results confirm significant positive correlations between organizational security measures and reporting of IT abuse incidents. But personal beliefs and judgements of the observed security breaches, however, influence the willingness to report colleagues to security management. Moreover, the results show that the reporting regime in Norwegian enterprises is too loose and the punishment too low to confirm any strong deterrent effect on employees, and most IT abuse incidents are regarded to be insignificant and not considered as criminal incidents.","Computer crime; Incident reporting; Information security","Computer crime; Crime; Mobile security; Effect on employees; Incident reporting; Positive correlations; Qualitative data; Security breaches; Security incident; Security management; Security measure; Security of data"
"Karim Z.; Rezaul K.M.; Hossain A.","Karim, Zakaria (35772314600); Rezaul, Karim Mohammed (57204372593); Hossain, Aliar (35772205900)","35772314600; 57204372593; 35772205900","Towards secure information systems in online banking","2009","8","10.1109/icitst.2009.5402619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950334886&doi=10.1109%2ficitst.2009.5402619&partnerID=40&md5=c977e885410c8a3871c5e72eea84ef35","In this era of globalization, information security is becoming more important because the world is becoming highly interconnected with the internet. At present customers can do banking online which is easy and time saving and at the same time they are vulnerable to threats. This paper seeks to investigate the current debate regarding the threats and vulnerabilities of the information security of online banking and to study some possible remedial actions to defend the threats. The aim of this research is to flesh out and critically analyse data and findings from the research dedicated to the online banking and its information security problems. This would lead to 1) outlining the overview of online banking and its information security system, 2) investigating the specific threats of online banking regarding information security, 3) justifying the role of information security threats in financial losses and the acceptance of online banking by the customers, 4) searching for the critical success factors, and 5) forecasting some possible solutions in the near future. The research finds out the threats of information security of online banking with some real successful fraudulent activities happened in the past and proposes different security measures that can be taken to protect the internet frauds. These measures will help customers to develop awareness by education and training, and improve online services provided by the banks which could develop a safeguard against the frauds by the policy reengineering and using advanced unique technology. Copyright © 2009 by the Institute of Electrical and Electronics Engineers, Inc. All rights reserved.","","Losses; Online systems; Sales; Security of data; Security systems; Critical success factor; Education and training; Information security threats; On-line service; Remedial actions; Secure information systems; Security measure; Threats and vulnerabilities; Search engines"
"Cuicui Z.; Xiaoyao X.","Cuicui, Zhang (35232866800); Xiaoyao, Xie (35097028000)","35232866800; 35097028000","Using non-deterministic finite automaton to research intrusion tolerant system","2009","0","10.1109/ICASID.2009.5277018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72549091260&doi=10.1109%2fICASID.2009.5277018&partnerID=40&md5=b4fe893add3c8b3637b2c0b010c910a7","Intrusion Tolerant is a new network information security technology after firewall, access control and intrusion detection. When a network system is attacked by illegal intrusion, intrusion tolerant system is capable of self-diagnosing, recovering, reconstruction and continuing to provide service to legitimate clients in the presence of intrusions. It is the last defense line of system after the intruder successfully bypassed firewall, intrusion detection or access permission control. Based on non-deterministic finite automaton, the working method after attacked is described, and a different way to develope intrusion tolerant technology is provided.","Finite automaton; Intrusion tolerant; Network security; Non-deterministic","Access control; Computer system firewalls; Finite automata; Intrusion detection; Robots; Access permissions; Intrusion tolerant; Intrusion tolerant system; Network information securities; Network systems; Non-deterministic; Nondeterministic finite automaton; Working methods; Network security"
"Kumar A.; Ghose M.K.","Kumar, Anil (56096607800); Ghose, M. K. (13310067900)","56096607800; 13310067900","Overview of information security using genetic algorithm and chaos","2009","28","10.1080/19393550903327558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863964680&doi=10.1080%2f19393550903327558&partnerID=40&md5=b341cc63158acc0199a385029ca2d477","Security, integrity, nonrepudiation, confidentiality, and authentication services are the most important factors in information security. Genetic algorithms (GAs) are a class of optimization algorithms. Many problems can be solved using genetic algorithms through modeling a simplified version of genetic processes. The application of a genetic algorithm to the field of cryptology is unique. Few works exist on this topic. In this article, an attempt has been made to give an overview of genetic algorithm-based cryptography and to propose a new approach to GA with pseudorandom sequence to encrypt data stream. The feature of such an approach includes high data security and high feasibility for easy integration with commercial multimedia transmission applications. The experimental results of the proposed technique confirm that high throughput rate needed for real time data protection is achieved. © 2009 Taylor & Francis.","Chaos; Cryptography; Genetic algorithms",""
"Zhong W.; Dong L.","Zhong, Wei (36070138400); Dong, Liu (55730560600)","36070138400; 55730560600","The development of verisimilar information security training platform based on virtual host","2009","1","10.1109/ISISE.2009.49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952637719&doi=10.1109%2fISISE.2009.49&partnerID=40&md5=1f337ab8ca58ecd0d326cf82870070bc","This paper clarifies the importance of developing an information security training platform and expounds the composition of knowledge system and platform architecture of the training system which aims to train students' practical ability, design ability, communication skills and team cooperation ability. And finally it puts forward to a solution about real environment and virtual host of information security training platform which makes the teaching easier, the learning environment more relaxing and interesting and makes the teaching paperless in entire process. © 2009 IEEE.","Information security; Security experiment; Training platform","Computer aided instruction; E-learning; Students; Communication skills; Information security trainings; Knowledge system; Learning environments; Platform architecture; Real environments; Students' practical abilities; Training platform; Security of data"
