"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Han S.; Li D.","Han, Shujie (55511875900); Li, Diyang (57197285553)","55511875900; 57197285553","Design and implementation of a secure Integrated Storage Network for classified information based on IPSAN","2012","0","10.4028/www.scientific.net/AMM.220-223.2924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870622243&doi=10.4028%2fwww.scientific.net%2fAMM.220-223.2924&partnerID=40&md5=482e0e3a3e32a8f44a6cd6cceec551ca","Aiming at the security threats of Integrated Storage Network (ISN) in network transmission and static storage of classified information, a Secure Integrated Storage Network (SISN) model is proposed. By designing a Security Initiator (SI) and a Security Control Model (SCM) with integration of techniques for identification, data encryption, access control and security auditing to guarantee the confidentiality, integrity and effectiveness of the storage. The simulation attack test was done to classified organizations which applying the SISN.The result prove SISN can guarantee the storage security of classified information effectively. © (2012) Trans Tech Publications, Switzerland.","Classified information; Information security; Integrated storage security; IPSAN; Secure integrated storage network","Access control; Design; Security of data; Classified information; Data encryption; Integrated storage; IPSAN; Network transmission; Security controls; Security threats; Static storage; Storage security; Network security"
"Maumbe B.M.; Owei V.","Maumbe, Blessing Mukabeta (6504226805); Owei, Vesper (6602273837)","6504226805; 6602273837","Understanding the information security landscape in South Africa: Implications for strategic collaboration and policy development","2012","4","10.4018/978-1-4666-2655-3.ch009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898230130&doi=10.4018%2f978-1-4666-2655-3.ch009&partnerID=40&md5=fbd8572f0278f48786dd169f27a044b7","Information security risks are a major threat to South Africa's bid to build a broad-based information society. The integration of information security in e-government is no longer an option, but an imperative given the resulting ""information overload"" and the need to filter ""good"" from ""bad"" information. Unless South Africa integrates information security in its e-government development policy and practices, the acclaimed benefits of e-government will not be realized. The moral hazard problems arising from bad information behavior such as human manipulation, withholding information, unauthorized access, and violation of individual privacy and confidentiality heightens the need to combat info-security risks and vulnerabilities. South Africa's readiness to deal with the information security risks has come under scrutiny. The information security infrastructure in South Africa is also not clearly understood. This chapter examines South Africa's information security landscape and describes how institutional and agency coordination could help improve information security in e-government. © 2013, IGI Global.","",""
"Gelbstein E.","Gelbstein, Eduardo (56111396800)","56111396800","Attackers: Internal and external","2012","0","10.4018/978-1-61520-831-9.ch004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898200838&doi=10.4018%2f978-1-61520-831-9.ch004&partnerID=40&md5=262ee8974175b7be1bb27fb2d1571959","Of the three groups of components of information security - tools, processes, and people- the last one should be considered as the weakest link. People range from the tired or unaware employee that clicks on a link that infects a computer or a network, to the security expert working for a criminal, military, or terrorist organization attacking a critical information infrastructure. This chapter examines the various classes of potential attackers and the techniques currently used to perpetrate such attacks. © 2012, IGI Global.","",""
"Wang Y.F.; Lin W.M.; Zhang T.; Ma Y.Y.","Wang, Y.F. (57192117312); Lin, W.M. (57196115065); Zhang, T. (55547106209); Ma, Y.Y. (55559817100)","57192117312; 57196115065; 55547106209; 55559817100","Research on application and security protection of Internet of Things in Smart Grid","2012","28","10.1049/cp.2012.2311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894541231&doi=10.1049%2fcp.2012.2311&partnerID=40&md5=c7b492f84224d5c19ba8f761f2b678f8","The Internet of Things (IoTs) has been considered one of the very promising technologies for the implementation of Smart Grid. First, main features of information and communication systems in Smart Grid are abstracted; the applications of IoTs in Smart Grid are analyzed and classified based on the different function. Then, based on the characters of smart grid systems, reference architecture for Smart Grid IoTs is introduced. Second, main security issues and information security protection requirements of Smart Gird IoTs are well studied. Considering the function of the IoTs application, IoTs in smart grid are classified into three areas with different importance, including electrical industrial control IoTs; gird information collection and process IoTs, and IoTs for power consumer interaction. And classified protection framework of internet of things security is described. The proposed framework can guide the security deployment for Smart Grid IoTs applications. Finally, trusted secure access control system for IoTs terminals is designed for the security protection of Internet of Things in Smart Grid.","Classified protection; Industrial control system.; Information security risk; Internet of Things; Reference architecture; Smart Grid",""
"Thorleuchter D.; Van Den Poel D.","Thorleuchter, Dirk (55922241500); Van Den Poel, Dirk (6603722083)","55922241500; 6603722083","Improved multilevel security with latent semantic indexing","2012","17","10.1016/j.eswa.2012.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865269030&doi=10.1016%2fj.eswa.2012.06.002&partnerID=40&md5=4f8ec1bee2d07bc913e77a97a991dd79","Multilevel security (MLS) is specifically created to protect information from unauthorized access. In MLS, documents are assigned to a security label by a trusted subject e.g. an authorized user and based on this assignment; the access to documents is allowed or denied. Using a large number of security labels lead to a complex administration in MLS based operating systems. This is because the manual assignment of documents to a large number of security labels by an authorized user is time-consuming and error-prone. Thus in practice, most MLS based operating systems use a small number of security labels. However, information that is normally processed in an organization consists of different sensitivities and belongs to different compartments. To depict this information in MLS, a large number of security labels is necessary. The aim of this paper is to show that the use of latent semantic indexing is successful in assigning textual information to security labels. This supports the authorized user by his manual assignment. It reduces complexity by the administration of a MLS based operating system and it enables the use of a large number of security labels. In future, the findings probably will lead to an increased usage of these MLS based operating systems in organizations. © 2012 Elsevier Ltd. All rights reserved.","Data protection; Decision support; Information security; Multilevel security; Text mining","Data mining; Decision support systems; Text processing; Authorized users; Data protection; Decision supports; Error prones; Latent Semantic Indexing; Multi-level security; Protect information; Security label; Text mining; Textual information; Security of data"
"Gupta M.; Walp J.; Sharman R.","Gupta, Manish (57214001291); Walp, John (56111024000); Sharman, Raj (8129878200)","57214001291; 56111024000; 8129878200","Strategic and practical approaches for information security governance: Technologies and applied solutions","2012","0","10.4018/978-1-4666-0197-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898258379&doi=10.4018%2f978-1-4666-0197-0&partnerID=40&md5=73bf1f42ff84a2505fd41e48714b3b08","Organizations, worldwide, have adopted practical and applied approaches for mitigating risks and managing information security program. Considering complexities of a large-scale, distributed IT environments, security should be proactively planned for and prepared ahead, rather than as used as reactions to changes in the landscape. Strategic and Practical Approaches for Information Security Governance: Technologies and Applied Solutions presents high-quality research papers and practice articles on management and governance issues in the field of information security. The main focus of the book is to provide an organization with insights into practical and applied solutions, frameworks, technologies and practices on technological and organizational factors. The book aims to be a collection of knowledge for professionals, scholars, researchers and academicians working in this field that is fast evolving and growing as an area of information assurance. © 2012 by IGI Global. All rights reserved.","",""
"Waly N.; Tassabehji R.; Kamala M.","Waly, Nesren (55509331800); Tassabehji, Rana (16647743500); Kamala, Mumtaz (6508296007)","55509331800; 16647743500; 6508296007","Improving organisational information security management: The impact of training and awareness","2012","22","10.1109/HPCC.2012.187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870455285&doi=10.1109%2fHPCC.2012.187&partnerID=40&md5=c4adde3e6c6cf7ae89f3f3ff97160346","Security breaches that affect personal data and organisational systems have become increasingly significant in the global technology (IT) industry. There is scope for research on the factors that influence user behaviour and attitudes toward this aspect of information security and their impact on organisation's network integrity. This research aims to study the critical success factors (CSF) for employees in order to comply with the organisational information security policy with a view to mitigating security breaches. Information security can be managed through three separate mechanisms: organisational factors, behavioural factors and training. Each of these elements impact differently on information security and comprehensive solutions include combinations of all three. The findings provide empirically evaluated information regarding the obstacles and the effective factors in employees' compliance with the implementation of the information security policy. The identified categories of factors are followed differently by employees working in Health, Business and Education. Questionnaire analysis as part of this study suggests that employees in the health sector comply the most in adhering with information security policy as compared to other sectors. One of the reasons for this is that health sector employees have better awareness, robust communication and effective training programmes with reinforcement and satisfaction. Moreover, employees in the health sector believe in the norms of security policies and have a positive attitude, as they recognise the significance of security policies, unlike the business and education sectors. © 2012 IEEE.","awareness; compliance; Information security; quantitative research; security behaviour; training and awareness programme","Behavioral research; Embedded software; Health; Personnel training; Research; Security of data; Security systems; awareness; compliance; Critical success factor; Education sectors; Global technology; Information security managements; Information security policies; Network integrity; Organisational factors; Positive attitude; Quantitative research; Robust communication; security behaviour; Security breaches; Security policy; Training programmes; User behaviour; Information technology"
"Du C.; Lu J.; Zhang Q.; Zhang L.","Du, Chunmei (57199470004); Lu, Jingshuang (51161564500); Zhang, Qiaoling (55516648600); Zhang, Lei (57852142000)","57199470004; 51161564500; 55516648600; 57852142000","Application of digital watermark technology in multimedia information security","2012","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870856534&partnerID=40&md5=da79e27473df11942fe85abea31e1937","With the development and widespread application of multimedia and network technologies, the protection of multimedia contents such as image, audio, and video becomes an urgent problem. As the powerful tool for copyright protection and authentication, digital watermark technology has gained wide attention and development. The principle of digital watermark technology is briefly introduced in this paper, and the copyright authentication scheme which applied in WWW is proposed. © 2012 TSI Press.","authentication; copyright protection; digital watermark; multimedia information security","Authentication; Copyrights; Digital watermarking; Security of data; Watermarking; Authentication scheme; Copyright protections; Digital water-marks; Multimedia contents; Multimedia information; Network technologies; Urgent problems; Technology"
"Nabi S.I.; Al-Ghmlas G.S.; Alghathbar K.","Nabi, Syed Irfan (36716527300); Al-Ghmlas, Ghmlas Saleh (56111162200); Alghathbar, Khaled (56022895300)","36716527300; 56111162200; 56022895300","Enterprise information security policies, standards, and procedures: A survey of available standards and guidelines","2012","9","10.4018/978-1-4666-0197-0.ch005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898271589&doi=10.4018%2f978-1-4666-0197-0.ch005&partnerID=40&md5=2a98166600e8d04c4d1cb8019f6b73ec","This chapter explores enterprise information security policies, standards, and procedures. It examines the existing resources, analyses the available options, and offers recommendations to the CIOs and other people that have to make decisions about policies, standards, and procedures to ensure information security in their enterprise. Additionally, the need, requirements, and audience for different types of security documents are scrutinized. Their mutual relationship is examined, and the association among them is illustrated with a diagram supplemented by an example to bring about better comprehension of these documents. It is important to know the sources and organizations that make standards and guidelines. Therefore, the major ones are discussed. This research involved finding all of the relevant documents and analyzing the reasons for the ever-increasing number of newer ones and the revisions of the existing ones. Various well-known and established international, as well as national, information security standards and guidelines are listed to provide a pertinent collection from which to choose. The distinguishing factors and common attributes are researched to make it easier to classify these documents. Finally, the crux of the chapter involves recommending appropriate information security standards and guidelines based on the sector to which an organization belongs. An analysis of the role played by these standards and guidelines in the effectiveness of information security is also discussed, along with some caveats. It is important for practitioners and researchers to know what is available, who the key players are, and the potential issues with information security standards and guidelines; they are all concisely presented in this chapter. © 2012, IGI Global.","",""
"Strack G.; Luckarift H.R.; Johnson G.R.; Katz E.","Strack, Guinevere (23991855200); Luckarift, Heather R. (6506576678); Johnson, Glenn R. (7405716888); Katz, Evgeny (23094460200)","23991855200; 6506576678; 7405716888; 23094460200","Information Security Applications Based on Biomolecular Systems","2012","5","10.1002/9783527645480.ch6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886027838&doi=10.1002%2f9783527645480.ch6&partnerID=40&md5=6df1cbed031a9583c7bd96ad4bd82ccb","[No abstract available]","Antibody; Barcode; Biocatalytic electrode; Biofuel cell; Encrypting; Enzyme; Information security; Keypad lock; Logic gate; Molecular logic; Steganography",""
