"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Myers Jr. J.P.; Riela S.","Myers Jr., J. Paul (55238270400); Riela, Sandra (56078322100)","55238270400; 56078322100","Embracing the diversity of information assurance & security","2008","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896602220&partnerID=40&md5=8fb073b5ae1606dfe4aef37dbbaf6a9f","Changes in the definition and approach to security have led to more contemporary presentations of Information Assurance & Security (IAS) that are far broader than older notions of ""computer security,"" ""network security,"" ""OS security,"" and the like. These earlier security courses were the exclusive domain of faculty expert in particular technical areas. Nowadays it is only a slight exaggeration to state that it is difficult to find a sub-discipline of CS that is not relevant to this growing field. While the extreme diversity of IAS poses certain difficulties, it also opens up considerable opportunities for a wider range of faculty to develop a first course in IAS. Paradoxically, the immense diversity of the field has rendered specialized expertise less relevant than a more generalist approach. Hence, many more faculty than previous are in a position to develop and teach at least a first course in IAS. This claim is supported here.","Curriculum; Information assurance; New course; Security","Curricula; Cybernetics; Information science; Network security; Information assurance; New course; Security; Teaching"
"Nikulin V.V.; Khandekar R.M.; Skormin V.A.","Nikulin, V.V. (56888921700); Khandekar, R.M. (8623698300); Skormin, V.A. (7003286964)","56888921700; 8623698300; 7003286964","High-bandwidth predictive tracking system for free-space laser communications","2008","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913570686&partnerID=40&md5=6006dc4d93f56c06f4d355ef22d87c3e","Laser communication is viewed as an enabling technology with great potential in both long-range and the ""last mile"" applications serving the needs of individual subscribers, military, and possibly deep space missions. Indeed, lasers allow for concentration of energy within tightly focused beams and narrow spectral interval, thus offering high throughput, information security, weight and size of components and power requirements that cannot be matched by RF systems. A key challenge is that high data rates should be complemented by high-precision wide-bandwidth position control of a laser beam. In many applications the ability to maintain a link is affected by the complex maneuvers performed by mobile communication platforms, resident vibrations, and atmospheric effects. This paper is focused on the application of acousto-optic technology, as an alternative to electro-mechanical devices, which addresses the tracking problems encountered under such conditions. It presents the developed electro-optical laboratory prototype, shows synthesis of the control system, and features experimental results that demonstrate excellent tracking performance.","Bragg cell; Kalman filter; Quadrant detector; Tracking","Bandwidth; Bragg cells; Control system synthesis; Electromechanical devices; High energy lasers; Interplanetary flight; Kalman filters; Laser beams; Military applications; Navigation systems; Optical links; Position control; Security of data; Surface discharges; Atmospheric effects; Concentration of energy; Deep space missions; Enabling technologies; Free space laser communications; Mobile communication platforms; Quadrant detectors; Tracking performance; Laser applications"
"Cheng H.K.; Guo H.","Cheng, Hsing Kenneth (34978214300); Guo, Hong (55265609000)","34978214300; 55265609000","A study of computer virus propagation: The interplay between social and technological networks","2008","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902174004&partnerID=40&md5=cb3c5c53db3951340afa604501ef68c2","This paper proposes a holistic view of a networked organization's computing environment to examine computer virus propagation patterns. Since all computers in an organization are the potential virus victims and all the networks, including social networks and technological networks, are the possible virus vectors, we therefore view an organization as a combination of both and examine its social network and technological network simultaneously. This paper empirically examines a large-scale organizational network consisting of both social network and technological network. By applying information retrieval techniques, we are able to map nodes in the social network to nodes in the technological network to construct the composite network of the organization. We apply social network analysis to study the topologies of social and technological networks in an organization. We further statistically test the impact of the interplay between social and technological network on computer virus propagation using a susceptible-infective-recovered epidemic process. We find that computer viruses propagate faster but reach lower level of infection through technological network than through social network, and viruses propagate the fastest and reach the highest level of infection through the composite network. Overlooking the interplay of social network and technological network underestimates the virus propagation speed and the scale of infection.","Computer viruses; Information security; Interplay between social and technological networks; Social network analysis","Information technology; Security of data; Social networking (online); Computer virus propagation; Computing environments; Epidemic process; Holistic view; Networked organizations; Organizational network; Technological networks; Virus propagation; Computer viruses"
"Dameri R.P.","Dameri, Renata Paola (55387294700)","55387294700","Using an enterprise information management system to enhance IT compliance and information value","2008","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896281414&partnerID=40&md5=cf4b6c1ce4ab6f81566a83ee51515e0b","During the latest years, IT governance has become more and more important, for several reasons: the increasing pervasivity of IT in business organization, management and administration requires a veritable governance activity, to strategically orient decision making about IT investments and management; the role of information systems in administrative data processing requires a special focus on information security and process control; the need to keep down IT budget forces to balance IT capital expenditure and operational expenditure and to increase IT systems productivity and information value. More of the attention on IT Governance is captured by compliance, owing to the recent financial scandals and the severe rules regarding information systems audit and control. Companies need to comply with these rules, but it requires important investments, considered not strategic but only necessary (Remenyi et. Al. 2000). However, companies should analyse the compliance requirements and to implement an IT governance system, not only to comply with legal rules, but also to improve the strategic alignment between IT and business and to optimise value creation by IT compliance investments (Ventrakaman and Henderson 1996, Van Grembergen 2003). Therefore, IT governance should have a complex set of goals, such as: to standardize and unify processes; to align information delivery with business needs; to control IT initiatives cost; to comply with external requirements. These goals are often opposed and difficult to pursue, because: they regard cross functional enterprise systems; they are strictly linked; they concern large databases and applications, very difficult to control. To optimise IT compliance it is useful to define a roadmap to IT compliance, orienting these activity to value creation, by realising scale, scope and experience economies in IT compliance activities. The accomplishment of this roadmap is the automation of IT compliance processes, using Governance, Risk and Compliance (GRC) standard solutions or developing in house systems, such as Enterprise Information Management (EIM) systems, to automatically manage processes, data and information security, access control, system performance and to data usability. In this paper, IT compliance topic is introduced, to define how to orient IT compliance to value creation; GRC systems and EIM systems are described, with their different cost and benefits for companies. Aim of the paper is to define how to develop compliance automated systems, to save money and enhance information integration and value. Observations and conclusions derive from practical experience of the author, participating to a project of EIM implementation in a major Italian company.","IT compliance; IT governance; IT management; Knowledge management","Automation; Decision making; Economics; Industry; Information systems; Investments; Knowledge management; Management information systems; Regulatory compliance; Security of data; Enterprise information management; Governance activities; Information integration; IT compliance; IT governance; IT management; Operational expenditures; Role of Information Systems; Compliance control"
"Tsaur W.-J.; Pai H.-T.","Tsaur, Woei-Jiunn (35581292900); Pai, Haw-Tyng (23036095100)","35581292900; 23036095100","Dynamic Key Management Schemes for Secure Group Access Control Using Hierarchical Clustering in Mobile Ad Hoc Networks","2008","0","10.1063/1.3037108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040442119&doi=10.1063%2f1.3037108&partnerID=40&md5=b9a6e5f70e45de650d1be428b604576d","The applications of group computing and communication motivate the requirement to provide group access control in mobile ad hoc networks (MANETs). The operation in MANETs' groups performs a decentralized manner and accommodated membership dynamically. Moreover, due to lack of centralized control, MANETs' groups are inherently insecure and vulnerable to attacks from both within and outside the groups. Such features make access control more challenging in MANETs. Recently, several researchers have proposed group access control mechanisms in MANETs based on a variety of threshold signatures. However, these mechanisms cannot actually satisfy MANETs' dynamic environments. This is because the threshold-based mechanisms cannot be achieved when the number of members is not up to the threshold value. Hence, by combining the efficient elliptic curve cryptosystem, self-certified public key cryptosystem and secure filter technique, we construct dynamic key management schemes based on hierarchical clustering for securing group access control in MANETs. Specifically, the proposed schemes can constantly accomplish secure group access control only by renewing the secure filters of few cluster heads, when a cluster head joins or leaves a cross-cluster. In such a new way, we can find that the proposed group access control scheme can be very effective for securing practical applications in MANETs. © 2008 American Institute of Physics.","Access control; Group communication; Hierarchical clustering; Information security; Mobile ad hoc networks",""
"Rothke B.","Rothke, Ben (6602803781)","6602803781","Facsimile security","2008","0","10.1201/9781420067101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056411724&doi=10.1201%2f9781420067101&partnerID=40&md5=06ff162b11f8c946e86d6dc7b30248b5","Most companies do not lack for information security products. Their data centers are likely full of firewalls, virtual private networks, security appliances, and much more. Yet there is a device, hundreds of them perhaps, in many organizations, that lacks any sort of security. This is the lowly fax machine. The fax machine poses serious potential security issues and risks to every company that uses it. The good news is that most of these risks can easily be mitigated. The issue is that most companies are oblivious to these threats and do not take the appropriate countermeasures. © 2008 by Taylor & Francis Group, LLC.","",""
"Bensoussan A.; Mookerjee R.; Mookerjee V.; Yue W.T.","Bensoussan, Alain (7007172993); Mookerjee, Radha (6603672212); Mookerjee, Vijay (6601979588); Yue, Wei T. (8925768600)","7007172993; 6603672212; 6601979588; 8925768600","On a multi-dimensional framework for information security management","2008","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902139365&partnerID=40&md5=19e81c25c0322ff90190485dff91a4de","This paper analyzes interactions between a firm that seeks to dynamically choose the risk associated with a security system and hackers who seek to compromise it. We formulate the problem using an analytical model in which the level of system vulnerability at any point in time potentially affects a variety of risk factors that are balanced to provide a multi-dimensional approach to information security management. The approach not only considers conventional factors such as detection rate and false positive rate, but also includes factors that account for hacker attack behavior and learning that occurs in response to actions taken by the firm to manage system risk. System vulnerability can be lowered by increasing the system's discrimination ability (i.e., the ability to distinguish between attacks and normal usage). The discrimination ability deteriorates due to changes in the domain and through the dissemination of information about the system's vulnerabilities among hackers. The problem is solved to reveal the presence of a steady-state solution, one in which the level of system discrimination ability is held constant. We provide insights into managing various dimensions of risk in a consolidated risk management framework.","","Industrial management; Industry; Information technology; Personal computing; Risk management; Security of data; Detection rates; Discrimination ability; False positive rates; Information security managements; Multi-dimensional approach; Risk management framework; Steady state solution; System vulnerability; Information management"
"Bahn W.; Baird L.; Collins M.","Bahn, William (24491765600); Baird, Leemon (8853354100); Collins, Michae (57198092737)","24491765600; 8853354100; 57198092737","Jam resistant communications without shared secrets","2008","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896502696&partnerID=40&md5=904fef92cd2beaee62530280b6796a23","Information security is only attained when all four of the classic information assurance goals - confidentiality, integrity, authenticity, and availability - are attained. The work presented focuses exclusively on the availability goal; in particular, maintaining the availability of the physical layer link in an omnidirectional wireless communications system. Hostile jamming is a direct attack on the availability of an information resource. As the United States develops the Global Information Grid (GIG), key management will be a challenging problem. While much progress has been made utilizing asymmetric cryptography and a Public Key Infrastructure (PKI) to manage keys that encrypt, decrypt, and authenticate data, the keys used to protect the physical communication layer from hostile jamming are highly vulnerable. In particular, battlefield ad hoc wireless networks are at significant risk. Preferred jam resistant methods rely on highly-directional links (e.g., beam-forming antennas, lasers, or physical cable), but realistic operational environments will continue to rely heavily on omnidirectional radio frequency (RF) links as well. Presently, such links rely on spread spectrum techniques for jam-resistance, all which currently require symmetric (shared-secret) keys. While shared-secret schemes are workable in small networks, the scale and nature of theater-wide, mobile, ad-hoc wireless networks will quickly overwhelm any practical key management strategy. Not only will the initial distribution of keys be difficult, but preventing keys from being compromised and re-keying when the inevitable compromises occur will place extreme burdens on the system. In addition, commercial systems such as cellular phone networks face similar challenges as their need for jam resistance becomes more evident. Furthermore, public-access systems such as the civilian side of the Global Positioning Satellite (GPS) system preclude reliance on secret keys since, by definition, the pool of authorized users includes everyone. Yet while civilian GPS is recognized as having little jam-resistance, the present trend calls for increased reliance on it for civil aviation. The availability goal in such large-scale and/or public access omnidirectional systems can only be achieved if the physical layer link can remain available in the face of significant hostile jamming even without a shared secret in place. This paper describes the first algorithms that make unkeyed jam-resistant omnidirectional physical links possible: the BBC encoding and decoding algorithms. We describe these algorithms and how they can be implemented in suitable physical layers. Such physical layers, while not secure in and of themselves, can serve as the foundation upon which well-established asymmetric techniques can be used to construct secure communications channels.","Jam-resistance; Physical layer; Spread spectrum","Access control; Algorithms; Global positioning system; Jamming; Local area networks; Mobile ad hoc networks; Network layers; Public key cryptography; Spectroscopy; Tracking (position); Wireless networks; Global Information Grid(GIG); Global positioning satellites; Jam-resistance; Physical layers; Public-key infrastructure; Spread spectra; Spread spectrum techniques; Wireless communications system; Omnidirectional antennas"
"Preneel B.","Preneel, Bart (57204143535)","57204143535","Research challenges in cryptology (Extended Abstract)","2008","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893205948&partnerID=40&md5=1996b5df2300fa43d8933be55da27e9a","During the last decade, cryptology has become a commodity. Many present day on-line applications are unthinkable without cryptographic technology. For example, cryptographic algorithms and protocols have been integrated into our bank cards, mobile phones and software systems to protect information and transactions and to offer privacy. These success of cryptology may lead us to believe that the cryptography problem is ""solved."" However, this extended abstract demonstrates that there are still many challenges ahead, both in the area of foundations and applications of cryptology. © 2008 Atilla Elçi.","Cryptology; Information security","Security of data; Algorithms and protocols; Bank cards; Cryptographic algorithms; Cryptographic protocols; CryptoGraphics; Cryptology; Extended abstracts; Mobile phone systems; On-line applications; Research challenges; Cryptography"
"Saaksvuori A.; Immonen A.","Saaksvuori, Antti (55996437700); Immonen, Anselmi (57224241900)","55996437700; 57224241900","Product lifecycle management (third edition)","2008","244","10.1007/978-3-540-78172-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892293152&doi=10.1007%2f978-3-540-78172-1&partnerID=40&md5=54bba438fa79d839b2fa549c12044660","In today's manufacturing and service industries PLM - Product Lifecycle Management - is an essential means to cope with the challenges of more demanding global competition. New, more complex and more configurable products must be introduced to markets faster than ever before. In order to cope with this, companies form large collaborative networks. In these collaborative networks product information must be transferred between companies in electronic form, smoothly and with high levels of information security. This is the first English-language book on PLM that introduces the reader to the basic terms and fundamentals of PLM. It provides a solid foundation for starting a PLM development project and further gives ideas and examples of how PLM can be utilized in various industries. In addition, it offers an insight into how PLM can assist in creating new business opportunities and in making real eBusiness possible. © 2008, 2005, 2003 Springer-Verlag Berlin Heidelberg. All rights are reserved.","",""
