"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Jackson C.B.","Jackson, Carl B. (55057795700)","55057795700","The business impact assessment process","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056542631&partnerID=40&md5=c37c67b985fcbfcc75c73078aab986a1","The initial version of this chapter was written for the 1999 edition of the Handbook of Information Security Management. Since then, Y2K has come and gone, E-commerce has seized the spotlight, and Web-based technologies are the emerging solution for almost everything. The constant throughout these occurrences is that no matter what the climate, fundamental business processes have changed little. And, as always, the focus of any business impact assessment is to assess the time-critical priority of these business processes. With these more recent realities in mind, this chapter has been updated and is now offered for your consideration. © 2007 by Taylor & Francis Group, LLC.","",""
"Mauwa H.; Von Solms R.","Mauwa, H. (58708954500); Von Solms, R. (55970955300)","58708954500; 55970955300","Information security awareness: Towards a generic programme","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926067514&partnerID=40&md5=b46076607cb32ce6338f80703ee9d494","Basing information security awareness programmes on existing information security policies in organizations is a sound approach, since these policies are seen as the basis for effective information security. But this approach does not satisfy the needs of organizations that do not have such policies in place. Therefore, another approach, which does not entirely depend on existing policies, is needed so that organizations, even those without the policies, can implement such a programme.","Information security awareness programmes; ISO/IEC 13335-3; ISO/IEC 17799","Mobile security; Societies and institutions; Information security awareness; Information security policies; ISO/IEC; Iso/iec 17799; Security of data"
"Henderson F.J.; Craig-Henderson K.M.","Henderson, Foster J. (57203241758); Craig-Henderson, Kellina M. (8985615000)","57203241758; 8985615000","Security architecture and models","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056561796&partnerID=40&md5=5cc4f16ffb0e26da7c35f19536bb92ee","As this passage illustrates, a strong foundation has been akin to protection from adversity since the beginning of time. It should not be surprising then that information security professionals must have a good foundation to implement successful security architecture. Following are the areas designated as the cement for our “virtual foundation.” A commitment to successful security architecture requires a clear understanding of issues involving: • Technology • Environment • Software What follows is initially a brief description of the components to this “tripartite” conceptualization of the virtual foundation. This in turn is followed by a more detailed discussion of exactly what the information security professional must know about each component, as well as the interactive effects of each. © 2007 by Taylor & Francis Group, LLC.","",""
"Young B.R.","Young, Brett Regan (57204647863)","57204647863","New trends in information risk management","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056516067&partnerID=40&md5=0a1b882f01db2e5a4c22e6f830a7b310","Corporations have increased their investment in information security because critical business systems have moved into increasingly hostile territory. As the enterprise has embraced new technologies such as EDI/EFT, remote access, and sales automation, confidential data has gradually found itself in ever-riskier venues. Moving to the Internet is the latest-and riskiest-frontier. Nevertheless, forward-looking companies are willing to face the growing and unpredictable body of risks on the Internet to create competitive advantage. © 2007 by Taylor & Francis Group, LLC.","",""
"Browne P.; Katz S.R.","Browne, Peter (57854572200); Katz, Stephen R. (57854153900)","57854572200; 57854153900","Security as a Business Function","2007","0","10.1201/9780849379444-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136375160&doi=10.1201%2f9780849379444-13&partnerID=40&md5=494b8a504224b5c4f84ace8c09bbae9a","To be relevant and successful, an information security organization must be managed and treated as a business function. It essentially becomes a business within the business. As with any business there is a planning component, a sales and marketing component, a production or build function, and an operational or delivery capability as well as a financial and program management and control component. The primary mission of the security function is to assure the integrity, confidentiality, and availability of information. However, this mission must be accomplished within the context of security as a facilitator for the development and delivery of the organization's products and services. Security must be viewed as the organization where one goes for answers about how to securely move forward with a new product or service and to ensure that the company's trust commitment to its customers and partners is being achieved. This must be accomplished through an effective business risk management approach to developing alternative solutions. © 2008 by Taylor and Francis Group, LLC.","",""
"Henry K.","Henry, Kevin (57204643602)","57204643602","Secure development life cycle","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056518484&partnerID=40&md5=b22a026aa260a50584d8066d37b732bf","Over the past years, we have probably received more comments about the applications domain of the CISSP then about any other domain. Many people question the inclusion of applications in the common body of knowledge (CBK)® for the CISSP® certification. This is understandable because the field of information systems analysis, design, and development-which is the real home of applications development-is a close relative to the information security field outlined by the CISSP CBK and, as we all know, sometimes close relatives do not get along with each other. © 2007 by Taylor & Francis Group, LLC.","",""
"Krehnke M.E.; Krehnke D.C.","Krehnke, Mollie E. (57204525847); Krehnke, David C. (57204527091)","57204525847; 57204527091","Configuration management: Charting the course for the organization","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056558383&partnerID=40&md5=a92b902cf2cecc8bbcd2e0429d2b329c","Configuration management (CM) supports consistency, completeness, and rigor in implementing security. It also provides a mechanism for determining the current security posture of the organization with regard to technologies being utilized, processes and practices being performed, and a means for evaluating the impact of change on the security stance of the organization. If a new technology is being considered for implementation, an analysis can determine the effects from multiple standpoints: • Costs to purchase, install, maintain, and monitor • Positive or negative interactions with existing technologies or architectures • Performance • Level of protection • Ease of use • Management practices that must be modified to implement the technology • Human resources who must be trained on the correct use of the new technology, as a user or as a provider CM functions serve as a vital base for controlling the present-and for charting the future for an organization in meeting its goals. But looking at CM from a procedural level exclusively might result in the omission of significant processes that could enhance the information security stance of an organization and support mission success. © 2007 by Taylor & Francis Group, LLC.","",""
"McGhie L.L.","McGhie, Lynda L. (6507694750)","6507694750","Health insurance portability and accountability act security rule","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056548618&partnerID=40&md5=bd877e8b692176c3fcbdeb7c9ec9c4d6","The most effective and defensible information security program is one that strictly adheres to a disciplined risk management methodology. Legal authorities warn that laws and regulations regarding information protection and privacy will continue to evolve over the next decade. These rules will continue to dictate how firms and government agencies protect and safeguard customer privacy information. The most effective and efficient way to guarantee compliance to these laws and regulations is through the adoption of risk management systems. Such a framework will provide a foundational information security management system leading to compliance and risk reduction and mitigation. Many functional areas within an organization practice risk management and deal with various aspects of risk management, including information security, business continuity planning (BCP), disaster recovery planning (DRP), insurance, finance, and internal auditing, to name a few. Risk management is the critical first step leading to a successful and compliant implementation of the HIPAA Security Rule. © 2007 by Taylor & Francis Group, LLC.","",""
"Scott McCoy R.","Scott McCoy, R. (57204617608)","57204617608","Perimeter security","2007","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056501374&partnerID=40&md5=d2c672d9ce2b703a7264b821f0fbf9ee","When most information security practitioners hear the term perimeter security, they usually think of firewalls, intrusion detection, and intrusion prevention systems. In larger companies, the physical perimeter is the responsibility of either a physical security department or facilities. Medium- and smallsized companies may have someone such as a facilities manager who is responsible for physical security, but it is an additional duty and not a specialty. This should be a concern for all information security practitioners because physical security (or the lack of it) is one of the biggest gaps in most information security programs. © 2007 by Taylor & Francis Group, LLC.","",""
"Laschi R.; Riccioni A.; Suzzi P.","Laschi, Roberto (7003412596); Riccioni, Anna (26025751500); Suzzi, Patrik (56534325200)","7003412596; 26025751500; 56534325200","Learning by doing: Vlab, a virtual laboratory for computer engineering education","2007","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923930570&partnerID=40&md5=78315d9a8b83f891742e7d165691c19a","In this paper we present the design and implementation of an advanced virtual lab aimed at supporting teaching and learning in Computer Engineering courses. We first outline the requirements an educational tool must meet to represent an effective and comprehensive support for students through the whole process that leads them to achieve conceptual understanding and technical skills. The described virtual lab, based on a constructivist approach and suitable for use in blended-learning contexts, responds to a general model that allows its application in different educational domains. In the second part of the paper we describe the implementation of vLab 2.0, a prototype built following the proposed directions and the results of a prior experimentation within the Information Security Technologies course hold at the Engineering Faculty of the University of Bologna. vLab 2.0 relies on Eclipse technology in order to guarantee openness and extensibility, and to access a set of advanced features which concur in providing support for building a comprehensive and sophisticated tool for teaching and learning. © 2007 by Knowledge Systems Institute Graduate School. All rights reserved.","","Curricula; Design; Distance education; Education; Education computing; Multimedia systems; Security of data; Students; Teaching; Computer engineering course; Computer engineering education; Conceptual understanding; Constructivist approaches; Design and implementations; Information security technologies; Teaching and learning; Virtual laboratories; Engineering education"
"Majstor F.","Majstor, Franjo (57204616310)","57204616310","Storage area networks security protocols and mechanisms","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056560192&partnerID=40&md5=77a0dc0ecdbe741687a0dec8d8a4b572","Storage devices were, up to fairly recently, locked in a glass room and hence the data stored on them was enjoying the privileges of the physical data center security and protection mechanisms. With the development of storage area network (SAN) technology, hard drives and tape drives are not necessarily directly attached to a host anymore but could be rather physically distant-up to several hundred kilometers or even around the globe. Such a flexibility of logically instead of physically attached storage devices to a host made them remotely accessible and highly available; however, it brought into consideration all security elements of the modern network environment, such as privacy, integrity of the data in transit, and authentication of the remotely connected devices. From the data perspective, one can distinguish between storage network security, which refers to protection of the data while it is in transit, versus storage data security, which refers to when the data is stored on tapes or hard drives. This chapter focuses on making information security professionals aware of the new communication protocols and mechanisms for storage network security, explaining threats and their security exposures, as well as describing guidelines for their solutions. © 2007 by Taylor & Francis Group, LLC.","",""
"Sherizen S.","Sherizen, Sanford (6506785925)","6506785925","The business case for information security: Selling management on the protection of vital secrets and products","2007","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056514332&partnerID=40&md5=526f8743c31522ea9c78785ace5f8902","If the world was rational and individuals as well as organizations always operated on that basis, this chapter would not have to be written. After all, who can argue with the need for protecting vital secrets and products? Why would senior managers not understand the need for spending adequate funds and other resources to protect their own bottom line? Why not secure information as it flows throughout the corporation and sometimes around the world?. © 2007 by Taylor & Francis Group, LLC.","",""
