"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Dagdelen Ö.; Fischlin M.","Dagdelen, Özgür (36175412600); Fischlin, Marc (56002428200)","36175412600; 56002428200","Security analysis of the extended access control protocol for machine readable travel documents","2011","18","10.1007/978-3-642-18178-8_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037097485&doi=10.1007%2f978-3-642-18178-8_6&partnerID=40&md5=bf3e95c19285f900628bb61e06fadb80","We analyze the Extended Access Control (EAC) protocol for authenticated key agreement, recently proposed by the German Federal Office for Information Security (BSI) for the deployment in machine readable travel documents. We show that EAC is secure in the Bellare-Rogaway model under the gap Diffie-Hellman (GDH) problem, and assuming random oracles. Furthermore, we discuss that the protocol achieves some of the properties guaranteed by the extended CK security model of LaMacchia, Lauter and Mityagin (ProvSec 2008). © 2011 Springer-Verlag.","authenticated key exchange; German electronic ID card; machine readable travel document; provable security","Access control; Lanthanum compounds; Radio transmitters; Security of data; Access control protocol; Authenticated key agreement; Authenticated key exchange; Diffie Hellman; Electronic ID cards; Machine readable travel documents; Provable security; Security analysis; Electronic document exchange"
"Bernik I.; Prislan K.","Bernik, Igor (8545867700); Prislan, Kaja (41862255200)","8545867700; 41862255200","Cyber terrorism in Slovenia-fact or fiction","2011","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016187593&partnerID=40&md5=58ce5a85d9f50c7e71ceec1b855aa8c8","Article represents the cyber terrorism and the way in which the Slovenian organizations understand and manage it. Cyber terrorism in public is usually referred and is mostly mistaken for classic attacks on information systems. The cyber terrorism can with minimal effort and knowledge cause terrible consequences and threaten existence of every organization. Methods and techniques of such attacks do not differ from the operation of the classic information security threats. However, the terroristic attack strives to political and social changes in order to spread fear among general public. The most common attacks are pointed on information systems in critical infrastructure. The consequences of the terroristic attack on the organization's information system are mostly economical damage, employees' injuries or even death. The protection against such cyber threat is therefore necessary; however how it depends on every individual organization. With results explanations, gathered with interviews in Slovenian organizations we are able to learn about problems of understanding cyber terrorism as a threat and to properly adjust to the changes.","Cyber terrorism; Information security; Managing the threats; Risks; Threats","Cybernetics; Information systems; Risks; Security of data; Classic information; Cyber terrorism; Cyber threats; Economical damage; General publics; Managing the threats; Social changes; Threats; Terrorism"
"Khelalfa H.M.","Khelalfa, Halim M. (56111450800)","56111450800","Forensics challenges for mobile phone security","2011","2","10.4018/978-1-61350-507-6.ch004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898097730&doi=10.4018%2f978-1-61350-507-6.ch004&partnerID=40&md5=ac9df9d40f3c6a435cb144a1919b9181","This chapter provides a complete reference on mobile phone forensics to students, researchers, lawyers, forensics examiners, information security officers, as well as organizational security personnel. First, the author reviews the currently used guidelines and procedures in digital forensic investigations, and then presents their current adaptations to mobile phone forensics, including criteria for the selection of forensics tool for mobile phone. Due to the world popularity of GSM phones, a detailed description of the SIM file system is presented. The forensic strength and weaknesses of the classes of physical and logical forensic tools are discussed. Current approaches to overcome the impediments of both classes are reviewed in terms of usability and forensic soundness. Then, the newest challenge to the digital forensic community, anti-forensics (AF) is raised, including the risks faced by mobile phone forensics investigation. Finally, the author addresses the issue of current research as well as trends on mobile phone forensics. © 2012, IGI Global.","","Cellular telephones; Computer crime; Electronic crime countermeasures; Global system for mobile communications; Mobile phones; Mobile security; Security of data; Telephone sets; Anti-Forensics; File systems; Forensic investigation; Forensic tools; Forensics tool; Mobile phone forensics; Mobile phone securities; Security personnel; Digital forensics"
"Isaacs D.","Isaacs, Derek (56018079700)","56018079700","Security assessment techniques for software assurance - a ""virtual team"" approach","2011","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893125039&partnerID=40&md5=fd7acc5383dae61f4d8131ef1fe0d803","Software Assurance / Software ""Security"" often imposes a requirement that applications be tested in a ""live"" (or as close to as is practicable) system-this often includes the surrounding implementation environment-as greater fidelity is needed for critical application testing and implementation confidence levels. Merely installing the software and performing a ""short list"" verification activity is insufficient-actual ""hands on"" execution of the software is needed-and when this can be done in a simulated live environment-a higher confidence level can be extended to the application target of evaluation (TOE) for implementation. This task is daunting not because of the nature of the testing-but of the need to setup and subsequently tear-down systems to participate in the performance of these tests. Fortunately-there are tools and techniques for testing application security-using a reduced set of hardware and yet maintaining operational fidelity. Virtual Machines (VM)'s and virtual networkenvironments (team architectures) offer a method for providing this level of testing confidence while allowing for a greater variety of tests and test participant systems. This paper presents a series of architectures and scenarios proposed to implement such a testing environment that retains the viability (and fidelity) of a 'real-world' network environment while providing an isolated and restricted test and analysis area. This is shown through a series of scenarios and VM Team setups (scenario players) in a virtual machine based environment. This approach allows a number of benefits: Isolation of the testing environment Focus on the Target of Evaluation (TOE) for testing Capture and provide metrics on tool and technique usage and impact Provide limits and mitigation of risk and liability issues for the TOE The VM environment also offers a unique opportunity to simulate interactions between various known systems under test (TOE)'s in a 'replicated' environment. A set of proposed scenarios and an environmental architecture, including toolsets and targets of evaluation (TOE) systems is proposed. The applicability of the VM 'team' systems approach is discussed through a suite of scenarios designed to illustrate ystem evaluation, monitoring, and detection.","Information assurance; Software assurance; Software testing; Virtual systems","Application programs; Network architecture; Network security; Testing; Verification; Virtual machine; Assessment technique; Confidence levels; Information assurance; Security assessment; Software assurance; Software testings; Testing environment; Tools and techniques; Virtual systems; Virtual team; Software testing"
"Cebula S.L.; Ahmad A.; Wahsheh L.A.; Graham J.M.; DeLoatch S.L.; Williams A.T.","Cebula, Stanley L. (55247122300); Ahmad, Aftab (57211672863); Wahsheh, Luay A. (36667756300); Graham, Jonathan M. (55315757600); DeLoatch, Sandra L. (6505777266); Williams, Aurelia T. (55315817800)","55247122300; 57211672863; 36667756300; 55315757600; 6505777266; 55315817800","How secure is WiFi MAC layer in comparison with IPsec for classified environments?","2011","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049988255&partnerID=40&md5=16773e8cb5dbbf38b2ebe25d6beec553","The IEEE 802.11-2007, like its earlier versions, provides a robust MAC layer with the help of mandatory CCMP and comprehensive key-generation, derivation, and distribution mechanisms. However, the physical layer continues to be without any protection from signal privacy attacks and anonymity of attacker within the WLAN, and it has no solution in the standard. The MAC layer, too, has not quite achieved the confidence of the networking community at the level of IPsec as of yet. In this paper, we present the results of a study that looks at the IEEE 802.11-2007 MAC security in juxtaposition to IPsec. We thus compare the attacks that can be thwarted by IEEE 802.11-2007 MAC as well as IPsec and the manners in which they can be thwarted by each security layer. The results can be used to propose enhancements to the IEEE 802.11-2007 MAC layer in order for it to gain the same level of confidence as obtained by IPsec. The purpose is not to choose between IPsec and IEEE 802.11-2007 security (as both are required at different layers), rather it is to help understand what could be added to the IEEE 802.11-2007 standard to make it as secure as IPsec. © 2011 SIMULATION COUNCILS, INC.","Information assurance; IPsec; WiFi; WLANs","Mobile security; Security of data; Wi-Fi; Wireless local area networks (WLAN); Different layers; Distribution mechanism; Information assurance; IPsec; Networking community; Privacy Attacks; Security layers; WLANs; IEEE Standards"
"Chang H.","Chang, Hangbae (55756500100)","55756500100","The study on end-to-end security for ubiquitous commerce","2011","3","10.1007/s11227-010-0412-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027953529&doi=10.1007%2fs11227-010-0412-4&partnerID=40&md5=cd932db072d45360f27244bb81a04a27","Traditional authentication systems used to protect access to online services are vulnerable by using various types of keyboard hacking tools at application-level and kernel-level. This study has been carried out for the purpose to secure keyboard input information at end to end area between the keyboard hardware and the computer main system. For this, we found out security vulnerabilities at kernel-level in accordance with the input information processing procedure by using risk analysis based technology methodology. To secure derived vulnerabilities we have designed a couple of detailed system components such as debug interrupt exception processing, 'JUMP' code insertion, keyboard input encryption and direct transmission. As the consequence of security evaluation on our proposed technologies, we have got experiment results better than literature studies in the confidentiality experiment and the comparison experiment (regarding authentication and access control) about various information invasion tools. We expect that our research would be able to contribute to follow-up study not only to prevent leaking about keyboard input information but also to secure important information in ubiquitous commerce applications. © 2010 Springer Science+Business Media, LLC.","Debug exception; Jump code insertion; Keyboard information security; Linkage with public key infrastructure","Access control; Authentication; Commerce; Computation theory; Computer hardware; Cryptography; Online systems; Personal computing; Program debugging; Public key cryptography; Risk analysis; Risk assessment; Authentication systems; Debug exception; End-to-end security; Jump code insertion; Public key infrastructure; Security evaluation; Security vulnerabilities; Ubiquitous commerce; Security of data"
"Mansourov N.; Campara D.","Mansourov, Nikolai (24822101500); Campara, Djenana (6508146282)","24822101500; 6508146282","System Assurance","2011","4","10.1016/C2009-0-60911-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013825765&doi=10.1016%2fC2009-0-60911-9&partnerID=40&md5=3d6977a443417c91f600c325e9bae4a0","In this day of frequent acquisitions and perpetual application integrations, systems are often an amalgamation of multiple programming languages and runtime platforms using new and legacy content. Systems of such mixed origins are increasingly vulnerable to defects and subversion. System Assurance: Beyond Detecting Vulnerabilities addresses these critical issues. As a practical resource for security analysts and engineers tasked with system assurance, the book teaches you how to use the Object Management Group's (OMG) expertise and unique standards to obtain accurate knowledge about your existing software and compose objective metrics for system assurance. OMG's Assurance Ecosystem provides a common framework for discovering, integrating, analyzing, and distributing facts about your existing enterprise software. Its foundation is the standard protocol for exchanging system facts, defined as the OMG Knowledge Discovery Metamodel (KDM). In addition, the Semantics of Business Vocabularies and Business Rules (SBVR) defines a standard protocol for exchanging security policy rules and assurance patterns. Using these standards together, you will learn how to leverage the knowledge of the cybersecurity community and bring automation to protect your system. Provides end-to-end methodology for systematic, repeatable, and affordable System Assurance. Includes an overview of OMG Software Assurance Ecosystem protocols that integrate risk, architecture and code analysis guided by the assurance argument. Case Study illustrating the steps of the System Assurance Methodology using automated tools. © 2011 Elsevier Inc. All rights reserved.","",""
"","","","IMSCI 2011 - 5th International Multi-Conference on Society, Cybernetics and Informatics, Proceedings","2011","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896289823&partnerID=40&md5=d9989d59f9dc3b3354dae6b8603604cb","The proceedings contain 124 papers. The topics discussed include: analysis of procedures and tools for the adaptation of engineering degrees to labor market needs in Spain; new mentoring and tutoring projects for engineering students; business simulation and competences' development in a bachelor of commerce course; information security service branding - beyond information security awareness; Wegmans and RIT: a case study in industrial/academic collaboration and the resulting benefits; new tools and methodologies for training in thermoplastic injection molding process; teaching information systems in business management studies: basic competencies to achieve and methodologies assessment; development of agent-based intelligent tutoring system for teaching object-oriented programming concepts; improving education and productivity in avionics software development through the application of an executable process framework; and the application of multi modern education information technologies in the construction of a harmonious teaching system.","",""
"Hall J.; Sarkani S.; Mazzuchi T.","Hall, Jacqueline (55483907800); Sarkani, Shahram (56279074200); Mazzuchi, Thomas (7004222916)","55483907800; 56279074200; 7004222916","Moderating roles of organizational capabilities affecting information security strategy effectiveness: A structural equation modeling analysis","2011","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893135751&partnerID=40&md5=f7c9ccd5fdb719f732be72449b506b2c","In today's modern business world, most organizations use information as a critical business asset to gain competitive advantage and create market value. Increasingly, an organization's ability to protect information assets plays a critical role in its ability to meet regulatory compliance requirements, increase customer trust, preserve brand strength or company reputation, maintain business resiliency, and thereby enhance organizational performance. As information technologies, global connectedness, and business requirements continue to evolve at a fast pace, organizations must recognize the importance of implementing an overall information security strategy to protect business information asset from increasingly sophisticated threats. Given the dynamic level of business environments, the identification and understanding of the required capabilities to deliver an information security strategy becomes the key success factor. At the strategic level, organizations must be able to answer the question, ""What are the minimum essential organizational capabilities required to support effective planning and execution of an overall information security strategy that best achieves organizational objectives and gains competitive advantage?"" The aim of this study is to contribute to the body of knowledge about the organizational aspect of information security. It seeks to examine the issue of information security from the perspective of organizational capabilities. Based on strategic management and information security literature, this perspective suggests that organizational capabilities moderate the relationship between information security strategy implementation success and organization performance. A theoretical model is proposed and validated to demonstrate this relationship changes as a function of organizational capabilities. The organizational capabilities considered here consist of the ability to develop high quality situational awareness and understanding of the internal and external environments, the ability to collaborate, make and communicate decisions, the ability to possess appropriate means and resources to respond, along with the ability to coordinate and deploy organizational assets. A structural equation modeling approach is used to quantitatively analyze data and to test the validity of the research hypotheses. Results from this study are expected to yield practical value for business leaders and to provide a basis for understanding the viable predisposition of an organization in the context of information security as it competes in today's challenging marketplace.","Competitive advantage; Effective implementation; Information security strategy; Organization performance; Organizational capabilities; Structural equation modeling","Commerce; Information systems; Information use; Regulatory compliance; Security of data; Strategic planning; Competitive advantage; Critical business; Effective implementation; Information assets; Information security strategy; Modeling analyzes; Organization performance; Organizational capabilities; Security strategies; Structural equation models; Competition"
"Nikolov G.I.","Nikolov, George I. (56707059200)","56707059200","Cloud computing and government: Background, benefits, risks","2011","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934766169&partnerID=40&md5=3537bea6b1f554d62365c4abccfc0cc8","Cloud computing, an emerging form of computing where users have access to scalable, on-demand capabilities that are provided through Internet-based technologies, has the potential to provide information technology services more quickly and at a lower cost, but also to introduce information security risks. Cloud computing can both increase and decrease the security of information systems in federal agencies. Potential information security benefits include those related to the use of virtualization, such as faster deployment of patches, and from economies of scale, such as potentially reduced costs for disaster recovery. Risks include dependence on the security practices and assurances of a vendor, dependency on the vendor, and concerns related to sharing of computing resources. This book provides an overview of the background, benefits, and risks of cloud computing and government usage. © 2011 by Nova Science Publishers, Inc. All rights reserved.","","Cloud computing; Economics; Security of data; Computing resource; Disaster recovery; Economies of scale; Federal agency; Information security risks; Information technology services; Internet based technology; Security Practice; Distributed computer systems"
