"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Anderson J.P.","Anderson, James P. (56137308100)","56137308100","Information Security in a Multi-User Computer Environment","1972","25","10.1016/S0065-2458(08)60506-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956859736&doi=10.1016%2fS0065-2458%2808%2960506-9&partnerID=40&md5=d96b884fe45c9933916324a3ed40754c","The problem of “computer security” ranges from physical protection of computer equipment to the physical and logical protection of computer-based data. As the techniques of physical security are well known and simple to apply, this chapter stresses on the problems and prospects for protecting data or information in multi-user computer environments. The emphasis is on the threats inherent in programming and using a system rather than various forms of internal and external penetration of the “smash-and-grab” variety, or the subversion of employees having legitimate access to a system. Not discussed at any length are the topics of administrative controls, physical security techniques, personnel screening, and many other aspects of security that are required in greater or lesser degree to devise a secure system. One is often confronted with the question: Is it possible to build a completely secure system? The answer must be unqualifiedly negative. However, it is possible to build an adequately secure system for a particular operational environment. The chapter shows that there is no single set of measures that can be taken to obtain “instant security.” Information security is a problem of providing sufficient barriers and controls to force a prospective penetrator into attacks that carry a high risk of detection and/or have a very large work factor. The work factor, if high enough, will be sufficient to deter all but the most dedicated penetrator, and for him it may make any eventual success a hollow victory. © 1972, Academic Press Inc.","",""
"Evans M.","Evans, Mike (55727618500)","55727618500","Security advances in banking systems","1985","0","10.1016/0011-684X(85)90136-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46549090470&doi=10.1016%2f0011-684X%2885%2990136-4&partnerID=40&md5=d73a324f6d673fab6bdfb3d04bab4848","In retail and international banking, there is a growing demand for upto-date information. Security is an important factor in all aspects of bank work. © 1985.","banking; computer networks; data processing",""
"Wood C.C.; Zeidler H.M.","Wood, Charles Cresson (57210508279); Zeidler, Howard M. (7101647420)","57210508279; 7101647420","Security modules: Potent information security system components","1986","1","10.1016/0167-4048(86)90133-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022736093&doi=10.1016%2f0167-4048%2886%2990133-1&partnerID=40&md5=6d6b37c96eb18b19a1d63456872714bd","In the future, the security of computer and data communications systems will to a large extent depend on the secure handling of secret parameters. Such parameters include log-on passwords, Personal Identification Numbers(PINs), encryption keys, encryption Initialization Vectors (IVs), pseudo-random number-generator quantities, and biometric personal identification quantities like digitized fingerprints. The greater dependency on such security parameters will be the natural outgrowth of both the increasing sophistication and the increasing computerization of security functions. A new approach to protected storage and protected processing of security parameters is the use of a special type of hardware/firmware-based equipment variously referred to as security modules, tamper-resistant modules, and cryptographic security modules. This paper describes representative functions that security modules perform, the benefits to be derived when security modules are deployed, and some current and future applications of this new technology. © 1986.","cryptographic security module; Security module; tamper-resistant module","CRYPTOGRAPHY; SECURE STORAGE; SECURITY MODULE; SOFTWARE PROTECTION; TAMPER-RESISTANT MODULE; DATA PROCESSING"
"McEvers J.A.; Krichinsky A.M.; Layman L.R.; Dunnigan T.H.; Tuft R.M.; Murray W.P.","McEvers, J.A. (6507881813); Krichinsky, A.M. (6508056431); Layman, L.R. (7006639140); Dunnigan, T.H. (57188754899); Tuft, R.M. (7004543305); Murray, W.P. (7201983366)","6507881813; 6508056431; 7006639140; 57188754899; 7004543305; 7201983366","IMPLEMENTATION OF THE FACILITY-INTEGRATED COMPUTER SYSTEM (FICS) FOR NUCLEAR MATERIAL ACCOUNTABILITY.","1980","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019091496&partnerID=40&md5=e37ff59e126ed16ea31f975c8ce6f012","A computer system that has been developed for nuclear material accountability and has been operating in an active radiochemical processing plant involving remote operations is described. The FICS was developed (1) to provide improved nuclear material accountability and control and (2) to provide information security. The system has become part of ORNL's Engineering Safeguard Program which has the objective of demonstrating process monitoring as it might be accomplished by inspectors of a nuclear fuel recycle facility.","","Chemical plants; Computers; RADIOCHEMISTRY; Nuclear fuels"
"Tyra Neil W.; Miles Paul A.","Tyra, Neil W. (6507078193); Miles, Paul A. (7103155891)","6507078193; 7103155891","SYSTEMATIC METHOD FOR EVALUATING SECURITY REQUIREMENTS COMPLIANCE.","1985","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022252679&partnerID=40&md5=8d76a57085647b8cf311de56b344cfe8","The authors introduce the security compliance analysis model (SCAM) as a tool for evaluating the degree of security requirement satisfaction. The model provides a means for compiling independently derived compliance evaluations over the broad spectrum of security issues: COMSEC, OPSEC, TEMPEST and Red/Black, ADPE security, physical security, information security, industrial security, and system security areas. The model relates these broad security issues to their constituent parameters (partitioning, shielding, isolation, separation, etc. ) via a hierarchical tree structure. Also provided is a means for assigning relational weighting factors that signify the parameter's relative significance to the overall security category. Finally, the model interprets compliance factors and proceeds through a mathematical algorithm to generate a series of scoring values that may be graphed over time.","","MILITARY COMMUNICATIONS - Space Applications; MILITARY ENGINEERING - Electronic Countermeasures; COMMAND AND CONTROL SYSTEMS; DATA SECURITY; DATA PROCESSING"
"Reitman R.P.; Andrews G.R.","Reitman, Richard P. (6602632313); Andrews, Gregory R. (7202160811)","6602632313; 7202160811","Certifying information flow properties of programs: An axiomatic approach","1979","6","10.1145/567752.567779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018296488&doi=10.1145%2f567752.567779&partnerID=40&md5=0b8f8699e3f21561c1602351d7f917fc","Interesting program properties other than functional correctness can be addressed and proved using axiomatic logic. An information flow logic that defines the flow semantics of a parallel programming language is presented. Proofs in this logic can be used to certify programs with respect to information security policies. The flow logic can also be combined with correctness logics to form an even more powerful deductive system. © 1979 ACM.","Computer security; Concurrency; Information flow; Policy certification; Program validation; Proof rules; Synchronization","Parallel programming; Security of data; Security systems; Semantics; Synchronization; Computer programming; Axiomatic approach; Concurrency; Functional correctness; Information flows; Information security policies; Program properties; Program validation; Proof rules; COMPUTER SECURITY; INFORMATION FLOW LOGIC; Computer circuits; Computer metatheory"
"Anon","Anon (1)","1","CONFERENCE PROCEEDINGS - ELECTRONICS FOR NATIONAL SECURITY.","1983","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020873013&partnerID=40&md5=b41e792bef0efb1e89f53281ffe7a9bc","This conference proceedings contains 43 papers, one in abstract form only. Various applications of electronics and computers in military and defense systems of the free world are considered. Military communications, acquisition and processing of military information, electron warfare (EW), electronic counter measures, command, control and communication intelligence (C3I) systems, rocket guidance systems, Doppler radar, combat vehicles, aircraft and weapons, naval ships and warfare, and security and protection schemes are discussed.","","AIRCRAFT, MILITARY - Electronic Equipment; MILITARY COMMUNICATION - Computer Interfaces; MILITARY VEHICLES - Control Systems; NAVAL WARFARE - Computer Applications; ROCKETS AND MISSILES - Guidance; COMMAND, CONTROL AND COMMUNICATION INTELLIGENCE (C3I) SYSTEMS; DOPPLER RADAR; EIREV; ELECTRONIC WARFARE (EW); MILITARY INFORMATION SECURITY; WEAPON SYSTEMS; ELECTRONIC EQUIPMENT"
"van Tongeren H.","van Tongeren, H. (6603956475)","6603956475","INFORMATION SECURITY IN THE FRAMEWORK OF THE INTERNATIONAL INFORMATION FLOW DEBATE - A BUSINESS VIEW.","1985","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022301099&partnerID=40&md5=9f1e22ed8a527c58b960d03e07fcff73","Information Security is not only a technical, professional topic but also a societal issue. As such, it can be discussed as an important element of the International Information Flow debate and related to many of the issues raised in this debate. It has also become an issue in its own right. The international business community is involved in the discussions and has a clear position on the IIF issues in general as well as on the Information Security issue.","","COMPUTER SYSTEMS, DIGITAL - Security Systems; ECONOMIC ISSUES; INFORMATION SECURITY; INTERNATIONAL INFORMATION FLOW DEBATE; PRIVACY/DATA PROTECTION ISSUES; TELECOMMUNICATION ISSUES; DATA PROCESSING"
"Conley Robert E.","Conley, Robert E. (57197373875)","57197373875","INFORMATION PROTECTION.","1987","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023536742&partnerID=40&md5=62ee35d9fff5674afa50fbafc30e691b","The subject of information security is discussed and several methods for protection of information are reviewed. Emphasis is placed on security methods to ensure that their application is consistent with management policy and intent.","","INFORMATION THEORY; INFORMATION ENTROPY; INFORMATION PROTECTION; DATA PROCESSING"
"Horn E.C.","Horn, Earl C. (56931551800)","56931551800","Three criteria for designing computing systems to facilitate debugging","1968","5","10.1145/363095.363145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945014201&doi=10.1145%2f363095.363145&partnerID=40&md5=bce37568a4f9890a907be51b19db36e9","[No abstract available]","computer design; computer design criteria; computer systems; computer systems design; computing reliability; debugging; determinism; deterministic computers; information privacy; information security; input equipment; input equipment design; memory protection; multi processing; multiprocessing; multiprogrammed system design; multiprogrammed systems; multiprogramming; operating systems; operating systems design; parallel; parallel processing; parallel programming; program debugging; program semantics; program testing; programming; programming language design; programming language semantics; programming languages; protection; repeatability; reproducibility; virtual computers",""
"Matchett Noel D.","Matchett, Noel D. (6508138696)","6508138696","EXPLOITATION OF UNSECURED AND SECURED SYSTEMS AND WHAT CAN BE DONE ABOUT IT.","1987","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023541939&partnerID=40&md5=ae9246252a4642ce7b23ee6341e2f265","The author addresses the problem of exploitation of unclassified and classified information. A discussion of present and future methods to provide the required security is presented.","","OFFICE AUTOMATION; TELECOMMUNICATION LINKS, MICROWAVE; TELECOMMUNICATION LINKS, SATELLITE; CLASSIFIED INFORMATION EXPLOITATION; INFORMATION SECURITY; SOVIET ESPIONAGE; DATA PROCESSING"
"Steele Robert W.","Steele, Robert W. (7402222584)","7402222584","SECURITY ISSUES FOR THE SENSITIVE, BUT UNCLASSIFIED, COMMUNITY.","1987","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023561649&partnerID=40&md5=e9008299c3e600d37b3b2a62768cc5cc","Seven information security issues are addressed: the information explosion; the conflict between a free society and information security; defining sensitive information; industry concerns versus governmental concerns; the market for security technology; the cost of such technology; and the drivers behind expanded application of information security in the sensitive, but unclassified, community of users.","","INFORMATION SECURITY; INFOSEC; SENSITIVE INFORMATION; DATA PROCESSING"
"Reitman Richard P.","Reitman, Richard P. (6602632313)","6602632313","MECHANISM FOR INFORMATION CONTROL IN PARALLEL SYSTEMS.","1979","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018660918&partnerID=40&md5=5556b642762892981706e0fe6bc80a5d","P. J. Denning and D. E. Denning have shown how the information security of sequential programs can be certified by a compile-time mechanism. This paper extends their work by presenting a mechanism for certifying parallel programs. The mechanism is shown to be consistent with an axiomatic description of information transmission.","","Data processing"
